风格名称,lora名称,lora_weight,pt名称,before_prompt,after_prompt,negative_prompt,大模型,训练方式,任务类型,文生图生成器,图生图生成器
Bedtime Story,BedtimeStory_SDXLIP_v0,1,Bedtime_Story_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Psychedelic Illustration,PsychedelicIllustration_SDXLIP_v0,1,Psychedelic_Illustration_xl_1024_ip_image_embeddings,,"psychedelic, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Bold Collage,CollageArtworks_SDXLIP_v0,1,Collage_Artworks_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed.",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
Colorful Felt,CuteFelt_SDXLIP_v0,1,Cute_Felt_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.7,SDXL-IP0.7
Impasto Comics,ImpastoComics_SDXLIP_v0,1,Impasto_Comics_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.65,SDXL-IP0.65
Impressionist,ImpressionistPainting_SDXLIP_v0,1,Impressionist_Painting_xl_1024_ip_image_embeddings,,"Single entity, solo, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Delicate Aquarelle,LightWatercolor_SDXLIP_v0,1,Light_Watercolor_xl_1024_15_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Metallic Fluid,MetallicFluid_SDXLIP_v0,1,Metallic_Fluid_xl_1024_ip_image_embeddings,,"best quality, Metallic, Everything is made of metal, best quality,soft lighting, Masterpiece","text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed, high-contrast, bad-contrast",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
Minimalist Cartoon,MinimalistCartoon_SDXLIP_v0,1,Minimalist_Cartoon_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Minimalist Characters,MinimalistCharacters_SDXLIP_v0,1,Minimalist_Characters_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Paper Cutout,PaperCutout_SDXLIP_v0,1,Paper_Cutout_xl_1024_15_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.65,SDXL-IP0.65
Pastel Deil,PastelDeil_SDXLIP_v0,1,Pastel_Deil_xl_1024_ip_image_embeddings,,"high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Whispering Lines,TracingRipples_SDXLIP_v0,1,Tracing_Ripples_xl_1024_15_ip_image_embeddings,,"Transparent, extremely thin material, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.5,SDXL-IP0.5
Zen Spirit,ZenLandscape_SDXLIP_v0,1,Zen_Landscape_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Into the Future,FutureSpace_SDXLIP_v0,1,Future_Space_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Ancient China,InkSmudge_SDXL_v0,0.8,test_embeddings,"Chinese ink painting, traditional media, liujiyou","Masterpiece, best quality,16K","(Bad hands:1.2), (bad fingers:1.2), (multiple fingers:1.4), text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed, high-contrast, bad-contrast",SDXL,,["Illustration Design"],SDXL-IP0,SDXL-IP0
Graffiti Splash,GraffitiSplash_SDXLIP_v0,1,Graffiti_Splash_xl_1024_15_ip_image_embeddings,,"High saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Vintage Engraving,ColorfulEngraving_SDXLIP_v0,1,Colorful_Engraving_xl_1024_ip_image_embeddings,,"high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Retro Noir Chromatics,SaturatedColor_SDXLIP_v0,1,Saturated_Color_xl_1024_ip_image_embeddings,,"Single entity, solo, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.5,SDXL-IP0.5
Glass World,GlassConstruction_SDXLIP_v0,1,Glass_Construction_xl_1024_ip_image_embeddings,," glassy luster, Transparent, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Metallic, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
Back to 1950,EnergeticFeeling_SDXLIP_v0,1,Energetic_Feeling_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.55,SDXL-IP0.55
Memphis Illustration,Memphisillustration_SDXLIP_v0,1,Memphis_illustration_xl_1024_ip_image_embeddings,,"high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.65,SDXL-IP0.65
Elegant B&W,GrayscaleBotanicalPrints_SDXLIP_v0,1,Grayscale_Botanical_Prints_xl_1024_ip_image_embeddings,,"(Grayscale:1.2), Grayscale color scale, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","color, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Pleasantly Warm,PleasantlyWarm_SDXLIP_v0,1,Pleasantly_Warm_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Piece of Holiday,PieceOfUrban_SDXLIP_v0,1,Piece_Of_Urban_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Realistic,SDXL_empty,0,test_embeddings,,"4K, Ultra HD, Professional, Medium Saturation, High Quality, Dramatic, Beautiful & Aesthetic, Highest Detail, Masterpiece, Top Quality, Best Quality, Official Art, Extremely Detailed, Intricate, Perfectly Lighted, Vibrant,hard shadow","worst quality, low quality, signature, watermark, username, illustration, 3d, 2d, painting, cartoons, sketch, ((blurry:1.3)), cgi, drawing, undefined, anime, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, normal quality, jpeg artifacts, signature",Realistic,,["Portrait Photography"],SDXL-IP0,SDXL-IP0
Interior Design Insight,SDXL_empty,0,test_embeddings,"(Realistic:1.5), Interior design","The Aesthetics of Interior Design Masters, Interior, design, interior decoration, no one, decoration, gorgeous,comfortable and smooth layout, simple lines, natural textures, beauty, bright environment, simple elegance, perfect composition, sunshine, realistic background, shooting with natural light and high contrast, depth of field, mid range, realistic lighting,Masterpiece, Best Quality, Best Picture Quality, Ultra Detailed, High Detail, High Resolution, 8k","Text, words, cropping, username, watermark, signature, blurry, soft, soft lines, curves, sketches, ugly, sketching, scale not good, cartoon, 3D, deformation, (normal quality), (low quality), (worst quality), drawing, sketching, logo, pixelated, low resolution,(bad and mutated hands:1.3), (worst quality:2.0), (low quality:2.0), (blurry:2.0), horror, geometry, bad_prompt, (bad hands), (missing fingers), multiple limbs, bad anatomy",SDXL,,["Interior Design"],SDXL-IP0,SDXL-IP0
Fantasy Home,FantasyHome_SDXLIP_v0,1,Fantasy_Home_xl_1024_ip_image_embeddings,,"high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
Pixel Art,Hit-BitPixel_SDXLIP_v0,1,Hit-Bit_Pixel_xl_1024_ip_image_embeddings,,"best quality, High pixels, complex, pixel art, bright colors, pixel graph, soft lighting, Masterpiece","worst quality, low quality, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, symmetrical, duplicate, error, pattern, beginner,  high-contrast, bad-contrast",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Inflatable Balloon,InflatableBalloons_SDXLIP_v0,1,Inflatable_Balloons_xl_1024_ip_image_embeddings,,"Everything is made of balloons, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
Floral Tattoo,WesternFloralTattoos_SDXLIP_v0,1,Western_Floral_Tattoos_xl_1024_ip_image_embeddings,,"Flat manuscript, Tattoo Manuscript, richimage colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","(Tattoos on the human body:1.3), (pen:1.2), (pencil:1.2), bad face, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Tattoo Design"],SDXL-IP0.4,SDXL-IP0.5
Classic Dotwork,Dotwork_SDXLIP_v0,1,Dotwork_xl_1024_ip_image_embeddings,,"white background, Flat manuscript, Tattoo Manuscript, Ultra high definition quality, Masterpiece, best quality, 4K","Disconnected line, (Tattoos on the human body:1.3), (pen:1.2), (pencil:1.2), bad face, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Tattoo Design"],SDXL-IP0.45,SDXL-IP0.4
Apocalyptic Horror,Apocalyptic_SDXLIP_v0,1,Apocalyptic_xl_1024_ip_image_embeddings,"Terrifying, exaggerated, ","rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Tattoo Design"],SDXL-IP0.35,SDXL-IP0.35
Creamy,CreamyInterior_SDXL_v0,1,test_embeddings,,"ALL White, A corner full of design, Curved, rounded furniture shape, Matte wood grain tile floors, Light-colored French lighting, warm sunlight, and transparency, Bright off-white, soft earth tones, high brightness, low saturation, cream color, bringing a light and dense texture, Furry material, delicate matte material, soft light paint, skin-feeling pet material, fabric material, grainy surface.Attention to detail and craftsmanship, soft and warm color palette, delicate and comfortable textures, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 8K, high resolution, more details, masterpiece, super detailed","(wood:1.5), Marble material, cold hard wood, metal material, too many dark colors, right angles, strong reflective materials, glass material, cold atmosphere, lack of light leading to dim atmosphere, lack of tactile surface of materials,bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn, bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans",Realistic,,["Interior Design"],SDXL-IP0,SDXL-IP0
